coin,best_window,best_combo,models,return_pct,combined_score,feature_set,n_features,optimal_features,horizon,gamma,rank,sampler
SOL,300,XGB+LGBM,XGB+LGBM,0.65,1.467,D,13,"logret_120h,logret_240h,xa_nasdaq_relstr5d,price_to_sma100h,hour_cos,volatility_12h,price_to_sma50h,xa_dax_corr10d,logret_24h,xa_eth_usd_relstr5d,spread_48h_12h,sma20_to_sma50h,adx_14h",10,0.995,5,Grid
SOL,200,XGB+LGBM,XGB+LGBM,-1.41,1.4311,D,13,"logret_120h,logret_240h,xa_nasdaq_relstr5d,price_to_sma100h,hour_cos,volatility_12h,price_to_sma50h,xa_dax_corr10d,logret_24h,xa_eth_usd_relstr5d,spread_48h_12h,sma20_to_sma50h,adx_14h",10,0.995,6,Grid
SOL,250,RF+LGBM,RF+LGBM,10.25,3.0821,D,20,"volatility_12h,adx_14h,logret_240h,xa_eth_usd_relstr5d,sma20_to_sma50h,logret_72h,xa_nasdaq_relstr5d,xa_dax_relstr5d,logret_120h,volatility_48h,xa_dax_corr10d,m_sp500_chg1d,plus_di_14h,hour_cos,price_to_sma50h,logret_24h,price_to_sma100h,m_gold_chg10d,xa_dax_corr30d,spread_120h_8h",12,0.999,1,Grid
SOL,200,XGB+LGBM,XGB+LGBM,2.94,2.8645,D,13,"volatility_12h,adx_14h,logret_240h,xa_eth_usd_relstr5d,sma20_to_sma50h,logret_72h,xa_nasdaq_relstr5d,xa_dax_relstr5d,logret_120h,volatility_48h,xa_dax_corr10d,m_sp500_chg1d,plus_di_14h",12,0.999,2,Grid
SOL,200,XGB+LGBM,XGB+LGBM,2.0,2.3352,D,13,"volatility_12h,adx_14h,logret_240h,xa_eth_usd_relstr5d,sma20_to_sma50h,logret_72h,xa_nasdaq_relstr5d,xa_dax_relstr5d,logret_120h,volatility_48h,xa_dax_corr10d,m_sp500_chg1d,plus_di_14h",12,0.997,3,Grid
SOL,200,XGB+LGBM,XGB+LGBM,-1.5,2.3345,D,17,"volatility_12h,adx_14h,logret_240h,xa_eth_usd_relstr5d,sma20_to_sma50h,logret_72h,xa_nasdaq_relstr5d,xa_dax_relstr5d,logret_120h,volatility_48h,xa_dax_corr10d,m_sp500_chg1d,plus_di_14h,hour_cos,price_to_sma50h,logret_24h,price_to_sma100h",12,0.995,4,Grid
SOL,200,RF+XGB,RF+XGB,-1.73,1.9186,D,17,"volatility_12h,adx_14h,logret_240h,xa_eth_usd_relstr5d,sma20_to_sma50h,logret_72h,xa_nasdaq_relstr5d,xa_dax_relstr5d,logret_120h,volatility_48h,xa_dax_corr10d,m_sp500_chg1d,plus_di_14h,hour_cos,price_to_sma50h,logret_24h,price_to_sma100h",12,0.999,5,Grid
SOL,200,XGB+LGBM,XGB+LGBM,-1.35,1.9015,D,17,"volatility_12h,adx_14h,logret_240h,xa_eth_usd_relstr5d,sma20_to_sma50h,logret_72h,xa_nasdaq_relstr5d,xa_dax_relstr5d,logret_120h,volatility_48h,xa_dax_corr10d,m_sp500_chg1d,plus_di_14h,hour_cos,price_to_sma50h,logret_24h,price_to_sma100h",12,0.997,6,Grid
LINK,250,XGB+LGBM,XGB+LGBM,3.99,2.5318,D,17,"pysr_3,volatility_12h,logret_72h,pysr_5,adx_14h,spread_240h_24h,logret_240h,logret_24h,volume_ratio_h,vol_ratio_12_48,logret_120h,spread_24h_4h,hour_cos,zscore_50h,pysr_1,price_to_sma100h,xa_eth_usd_relstr5d",5,0.999,1,Grid
LINK,100,XGB+LGBM,XGB+LGBM,5.61,2.1465,D,10,"pysr_3,volatility_12h,logret_72h,pysr_5,adx_14h,spread_240h_24h,logret_240h,logret_24h,volume_ratio_h,vol_ratio_12_48",5,0.995,2,Grid
LINK,100,XGB+LGBM,XGB+LGBM,3.62,1.876,D,10,"pysr_3,volatility_12h,logret_72h,pysr_5,adx_14h,spread_240h_24h,logret_240h,logret_24h,volume_ratio_h,vol_ratio_12_48",5,0.997,3,Grid
LINK,100,XGB+LGBM,XGB+LGBM,2.31,1.5388,D,10,"pysr_3,volatility_12h,logret_72h,pysr_5,adx_14h,spread_240h_24h,logret_240h,logret_24h,volume_ratio_h,vol_ratio_12_48",5,0.999,4,Grid
LINK,100,RF+LGBM,RF+LGBM,-7.68,0.9147,D,17,"pysr_3,volatility_12h,logret_72h,pysr_5,adx_14h,spread_240h_24h,logret_240h,logret_24h,volume_ratio_h,vol_ratio_12_48,logret_120h,spread_24h_4h,hour_cos,zscore_50h,pysr_1,price_to_sma100h,xa_eth_usd_relstr5d",5,0.997,5,Grid
LINK,100,RF+LGBM,RF+LGBM,-10.46,0.5876,D,17,"pysr_3,volatility_12h,logret_72h,pysr_5,adx_14h,spread_240h_24h,logret_240h,logret_24h,volume_ratio_h,vol_ratio_12_48,logret_120h,spread_24h_4h,hour_cos,zscore_50h,pysr_1,price_to_sma100h,xa_eth_usd_relstr5d",5,0.995,6,Grid
