coin,best_window,best_combo,models,return_pct,accuracy,combined_score,feature_set,n_features,optimal_features,horizon,gamma,sampler
LINK,251,RF+LGBM,RF+LGBM,-2.11,20.0,-2.1103,D,19,"xa_dax_relstr5d,xa_sp500_relstr5d,m_vix_chg1d,m_sp500_chg1d,price_to_sma100h,sma20_to_sma50h,m_nasdaq_chg1d,logret_120h,m_gold_chg1d,xa_nasdaq_relstr5d,gk_volatility_48h,logret_240h,xa_sp500_corr10d,xa_eth_usd_relstr5d,spread_120h_12h,logret_24h,xa_dax_corr10d,m_gold_chg10d,atr_pct_14h",10,0.9981,Refined
LINK,247,XGB+LGBM,XGB+LGBM,-4.52,60.0,-4.5168,D,15,"xa_dax_relstr5d,xa_sp500_relstr5d,m_vix_chg1d,m_sp500_chg1d,xa_nasdaq_relstr5d,logret_120h,logret_24h,logret_72h,sma20_to_sma50h,spread_120h_12h,xa_dax_corr10d,logret_240h,m_gold_chg1d,m_oil_chg5d,price_to_sma100h",12,0.9973,Refined
LINK,81,XGB+LGBM,XGB+LGBM,-6.0,25.0,-5.9981,D,21,"xa_dax_relstr5d,logret_240h,xa_sp500_relstr5d,m_vix_chg1d,xa_dax_corr10d,xa_nasdaq_relstr5d,m_sp500_chg1d,logret_120h,sma20_to_sma50h,spread_120h_12h,price_to_sma50h,logret_72h,m_dxy_chg1d,m_nasdaq_chg1d,price_to_sma100h,logret_24h,xa_sp500_corr10d,xa_eth_usd_relstr5d,m_gold_chg1d,volatility_48h,spread_120h_8h",14,0.998,Refined
LINK,72,RF+XGB,RF+XGB,1.98,60.0,1.1909,D,25,"volatility_48h,sma20_to_sma50h,logret_72h,vol_ratio_12_48,pysr_5,price_to_sma100h,pysr_2,logret_240h,adx_14h,hour_cos,logret_120h,gk_volatility_14h,volatility_12h,volume_ratio_h,rsi_14h,spread_48h_12h,plus_di_14h,pysr_4,price_accel_1h,price_to_sma50h,logret_2h,hour_sin,price_accel_24h,spread_240h_24h,spread_48h_4h",5,0.999,Grid
LINK,72,RF+XGB,RF+XGB,5.97,64.4,3.8436,D,13,"logret_72h,volatility_12h,adx_14h,pysr_2,sma20_to_sma50h,logret_120h,m_nasdaq_chg1d,xa_nasdaq_relstr5d,vol_ratio_12_48,price_to_sma100h,xa_eth_usd_relstr5d,hour_sin,spread_24h_4h",6,0.997,Grid
LINK,306,RF+XGB,RF+XGB,18.4,66.0,12.1345,D,22,"logret_72h,price_accel_24h,price_to_sma100h,pysr_1,logret_240h,vol_ratio_12_48,xa_eth_usd_relstr5d,logret_120h,pysr_3,pysr_4,spread_120h_8h,gp_iran_vol_zscore,atr_pct_14h,spread_240h_24h,logret_7h,pysr_2,logret_24h,volatility_48h,hour_cos,spread_48h_12h,gp_geopolitical_tone_zscore,sma20_to_sma50h",7,0.9933,Refined
BTC,72,RF+LGBM,RF+LGBM,5.99,56.1,3.3619,D,10,"oc_mvrv_chg1d,pysr_1,logret_240h,pysr_2,plus_di_14h,price_to_sma50h,adx_14h,logret_72h,vol_ratio_12_48,volatility_12h",5,0.995,Grid
BTC,100,RF+LGBM,RF+LGBM,23.78,65.1,15.4855,D,10,"pysr_1,volatility_12h,vol_ratio_12_48,spread_240h_24h,deriv_funding_chg1d,oc_mvrv_chg1d,hour_sin,deriv_basis,plus_di_14h,price_to_sma100h",7,0.995,Grid
BTC,72,RF+LGBM,RF+LGBM,32.6,60.9,19.8416,D,17,"pysr_1,volatility_12h,oc_mvrv_chg1d,deriv_funding_chg1d,plus_di_14h,deriv_funding_rate,deriv_basis,sma20_to_sma50h,vol_ratio_12_48,deriv_funding_zscore,spread_120h_12h,spread_120h_8h,volatility_48h,deriv_basis_chg1d,hour_cos,logret_24h,pysr_2",8,0.995,Grid
SOL,195,RF+LGBM,RF+LGBM,23.33,51.8,12.0849,D,19,"vol_ratio_12_48,deriv_funding_zscore,deriv_funding_rate,hour_cos,logret_72h,spread_120h_8h,pysr_5,sma20_to_sma50h,pysr_1,xa_btc_lag3h,volume_ratio_h,spread_24h_4h,price_accel_4h,plus_di_14h,deriv_basis_chg1d,price_accel_24h,price_accel_12h,pysr_3,price_to_sma100h",5,0.9954,Refined
SOL,250,RF+XGB,RF+XGB,22.18,59.3,13.1553,D,13,"pysr_5,pysr_1,price_to_sma100h,pysr_2,sma20_to_sma50h,logret_120h,adx_14h,logret_5h,bb_position_20h,spread_120h_12h,plus_di_14h,hour_cos,vol_ratio_12_48",6,0.999,Grid
SOL,111,XGB+LGBM,XGB+LGBM,18.5,51.5,9.5317,D,13,"vol_ratio_12_48,deriv_funding_chg1d,pysr_3,deriv_funding_zscore,spread_120h_12h,zscore_50h,hour_cos,hour_sin,deriv_funding_rate,sma20_to_sma50h,spread_24h_4h,logret_240h,atr_pct_14h",7,0.9945,Refined
SOL,300,XGB+LGBM,XGB+LGBM,30.37,56.2,17.0829,D,13,"pysr_1,hour_cos,pysr_5,logret_120h,price_to_sma100h,volatility_12h,spread_24h_4h,sma20_to_sma50h,stoch_k_14h,price_to_sma20h,adx_14h,spread_48h_12h,spread_240h_24h",8,0.999,Grid
ETH,254,RF+LGBM,RF+LGBM,80.92,73.5,59.454,D,14,"vol_ratio_12_48,deriv_basis_zscore,volume_ratio_h,gk_volatility_14h,deriv_funding_chg1d,xa_btc_lag2h,hour_cos,deriv_basis_chg1d,deriv_basis,sma20_to_sma50h,price_accel_12h,logret_6h,logret_240h,pysr_1",5,0.9985,Refined
ETH,168,RF+LGBM,RF+LGBM,76.87,62.3,47.895,D,8,"vol_ratio_12_48,deriv_basis,logret_7h,volatility_48h,deriv_basis_chg1d,volume_ratio_h,logret_8h,pysr_1",6,0.9958,Refined
ETH,150,RF+LGBM,RF+LGBM,25.35,63.8,16.1745,D,30,"pysr_1,pysr_3,pysr_4,oc_mvrv_chg1d,vol_ratio_12_48,volatility_12h,logret_240h,pysr_2,price_accel_24h,spread_48h_12h,adx_14h,logret_72h,gk_volatility_48h,plus_di_14h,volume_ratio_h,atr_pct_14h,price_to_sma50h,price_accel_12h,price_to_sma100h,logret_5h,spread_240h_24h,volatility_48h,stoch_k_14h,spread_120h_8h,hour_cos,pysr_5,sma20_to_sma50h,gk_volatility_14h,logret_120h,spread_48h_4h",7,0.999,Grid
ETH,100,RF+XGB,RF+XGB,24.19,63.6,15.3927,D,10,"pysr_1,pysr_4,adx_14h,oc_mvrv_chg1d,pysr_2,deriv_funding_chg1d,price_to_sma100h,pysr_3,logret_240h,atr_pct_14h",8,0.997,Grid
