date,BTC_USD,ETH_USD,NASDAQ,SP500,DAX
2022-01-01,47686.8125,3769.697021484375,,,
2022-01-02,47345.21875,3829.56494140625,,,
2022-01-03,46458.1171875,3761.38037109375,15832.7998046875,4796.56005859375,16020.73046875
2022-01-04,45897.57421875,3794.056640625,15622.7197265625,4793.5400390625,16152.6103515625
2022-01-05,43569.00390625,3550.386962890625,15100.169921875,4700.580078125,16271.75
2022-01-06,43160.9296875,3418.408203125,15080.8603515625,4696.0498046875,16052.0302734375
2022-01-07,41557.90234375,3193.21044921875,14935.900390625,4677.02978515625,15947.740234375
2022-01-08,41733.94140625,3091.97265625,14935.900390625,4677.02978515625,15947.740234375
2022-01-09,41911.6015625,3157.75146484375,14935.900390625,4677.02978515625,15947.740234375
2022-01-10,41821.26171875,3083.097900390625,14942.830078125,4670.2900390625,15768.26953125
2022-01-11,42735.85546875,3238.111572265625,15153.4501953125,4713.06982421875,15941.8095703125
2022-01-12,43949.1015625,3372.25830078125,15188.3896484375,4726.35009765625,16010.3203125
2022-01-13,42591.5703125,3248.28857421875,14806.8095703125,4659.02978515625,16031.58984375
2022-01-14,43099.69921875,3310.00146484375,14893.75,4662.85009765625,15883.240234375
2022-01-15,43177.3984375,3330.53076171875,14893.75,4662.85009765625,15883.240234375
2022-01-16,43113.87890625,3350.921875,14893.75,4662.85009765625,15883.240234375
2022-01-17,42250.55078125,3212.304931640625,14893.75,4662.85009765625,15933.7197265625
2022-01-18,42375.6328125,3164.025146484375,14506.900390625,4577.10986328125,15772.5595703125
2022-01-19,41744.328125,3095.825927734375,14340.259765625,4532.759765625,15809.7197265625
2022-01-20,40680.41796875,3001.1201171875,14154.01953125,4482.72998046875,15912.330078125
2022-01-21,36457.31640625,2557.931640625,13768.919921875,4397.93994140625,15603.8798828125
2022-01-22,35030.25,2405.18115234375,13768.919921875,4397.93994140625,15603.8798828125
2022-01-23,36276.8046875,2535.0390625,13768.919921875,4397.93994140625,15603.8798828125
2022-01-24,36654.328125,2440.352294921875,13855.1298828125,4410.1298828125,15011.1298828125
2022-01-25,36954.00390625,2455.93505859375,13539.2900390625,4356.4501953125,15123.8701171875
2022-01-26,36852.12109375,2468.0302734375,13542.1201171875,4349.93017578125,15459.3896484375
2022-01-27,37138.234375,2423.001220703125,13352.7802734375,4326.509765625,15524.26953125
