date,VIX,DXY,SP500,NASDAQ,GOLD,US10Y,EURUSD,USDJPY,OIL
2022-01-03,16.600000381469727,96.23999786376953,4796.56005859375,15832.7998046875,1799.4000244140625,1.628000020980835,1.1373459100723267,115.14199829101562,76.08000183105469
2022-01-04,16.90999984741211,96.29000091552734,4793.5400390625,15622.7197265625,1814.0,1.6679999828338623,1.1302244663238525,115.3280029296875,76.98999786376953
2022-01-05,19.729999542236328,96.19000244140625,4700.580078125,15100.169921875,1824.5999755859375,1.7050000429153442,1.1283625364303589,116.17400360107422,77.8499984741211
2022-01-06,19.610000610351562,96.25,4696.0498046875,15080.8603515625,1788.699951171875,1.7330000400543213,1.1313496828079224,116.12799835205078,79.45999908447266
2022-01-07,18.760000228881836,95.73999786376953,4677.02978515625,14935.900390625,1797.0,1.7710000276565552,1.1296881437301636,115.86499786376953,78.9000015258789
2022-01-10,19.399999618530273,95.98999786376953,4670.2900390625,14942.830078125,1798.4000244140625,1.7799999713897705,1.1353960037231445,115.61799621582031,78.2300033569336
2022-01-11,18.40999984741211,95.62000274658203,4713.06982421875,15153.4501953125,1818.5999755859375,1.746000051498413,1.1330417394638062,115.27799987792969,81.22000122070312
2022-01-12,17.6200008392334,95.0,4726.35009765625,15188.3896484375,1827.199951171875,1.725000023841858,1.1366478204727173,115.33100128173828,82.63999938964844
2022-01-13,20.309999465942383,94.79000091552734,4659.02978515625,14806.8095703125,1821.199951171875,1.7109999656677246,1.144164800643921,114.67500305175781,82.12000274658203
2022-01-14,19.190000534057617,95.16999816894531,4662.85009765625,14893.75,1816.5,1.7719999551773071,1.1457115411758423,114.11799621582031,83.81999969482422
2022-01-17,19.190000534057617,95.16999816894531,4662.85009765625,14893.75,1816.5,1.7719999551773071,1.1410704851150513,114.30599975585938,83.81999969482422
2022-01-18,22.790000915527344,95.7300033569336,4577.10986328125,14506.900390625,1812.300048828125,1.8650000095367432,1.1410574913024902,114.57099914550781,85.43000030517578
2022-01-19,23.850000381469727,95.51000213623047,4532.759765625,14340.259765625,1843.0999755859375,1.8270000219345093,1.1329647302627563,114.55400085449219,86.95999908447266
2022-01-20,25.59000015258789,95.73999786376953,4482.72998046875,14154.01953125,1842.5,1.8329999446868896,1.1343399286270142,114.34700012207031,86.9000015258789
2022-01-21,28.850000381469727,95.63999938964844,4397.93994140625,13768.919921875,1831.800048828125,1.746999979019165,1.1313753128051758,113.99299621582031,85.13999938964844
2022-01-24,29.899999618530273,95.91999816894531,4410.1298828125,13855.1298828125,1841.699951171875,1.7350000143051147,1.1341469287872314,113.78500366210938,83.30999755859375
2022-01-25,31.15999984741211,95.94999694824219,4356.4501953125,13539.2900390625,1852.699951171875,1.7829999923706055,1.1324130296707153,114.01100158691406,85.5999984741211
2022-01-26,31.959999084472656,96.48999786376953,4349.93017578125,13542.1201171875,1829.9000244140625,1.8480000495910645,1.130454421043396,113.875,87.3499984741211
2022-01-27,30.489999771118164,97.26000213623047,4326.509765625,13352.7802734375,1793.300048828125,1.8070000410079956,1.1243535280227661,114.72100067138672,86.61000061035156
2022-01-28,27.65999984741211,97.2699966430664,4431.85009765625,13770.5703125,1784.9000244140625,1.781999945640564,1.1147029399871826,115.35199737548828,86.81999969482422
2022-01-31,24.829999923706055,96.54000091552734,4515.5498046875,14239.8798828125,1795.0,1.781999945640564,1.1152374744415283,115.26200103759766,88.1500015258789
2022-02-01,21.959999084472656,96.38999938964844,4546.5400390625,14346.0,1800.300048828125,1.7999999523162842,1.12296462059021,115.12100219726562,88.19999694824219
2022-02-02,22.09000015258789,95.94000244140625,4589.3798828125,14417.5498046875,1809.199951171875,1.7660000324249268,1.1273956298828125,114.73600006103516,88.26000213623047
2022-02-03,24.350000381469727,95.37999725341797,4477.43994140625,13878.8203125,1803.0,1.8270000219345093,1.1299946308135986,114.38200378417969,90.2699966430664
2022-02-04,23.219999313354492,95.4800033569336,4500.52978515625,14098.009765625,1806.5999755859375,1.9299999475479126,1.14357590675354,114.95700073242188,92.30999755859375
2022-02-07,22.860000610351562,95.4000015258789,4483.8701171875,14015.669921875,1820.5999755859375,1.9160000085830688,1.145514726638794,115.2239990234375,91.31999969482422
