datetime,open,high,low,close,volume
1970-01-01 00:00:00.000000000,11489.8798828125,11490.509765625,11466.330078125,11469.4599609375,0
1970-01-01 00:00:00.000000001,11469.7001953125,11493.4697265625,11468.2998046875,11488.7998046875,0
1970-01-01 00:00:00.000000002,11488.900390625,11491.75,11478.4501953125,11481.6904296875,0
1970-01-01 00:00:00.000000003,11481.6904296875,11482.5400390625,11467.6796875,11468.240234375,0
1970-01-01 00:00:00.000000004,11468.240234375,11471.01953125,11453.419921875,11453.8603515625,0
1970-01-01 00:00:00.000000005,11453.4599609375,11464.849609375,11446.08984375,11446.4697265625,0
1970-01-01 00:00:00.000000006,11446.4697265625,11446.7802734375,11424.7900390625,11437.51953125,0
1970-01-01 00:00:00.000000007,11437.66015625,11454.4404296875,11431.099609375,11452.4296875,0
1970-01-01 00:00:00.000000008,11452.58984375,11460.669921875,11451.0703125,11456.990234375,0
1970-01-01 00:00:00.000000009,11484.9697265625,11485.51953125,11450.75,11453.2001953125,0
1970-01-01 00:00:00.000000010,11453.2001953125,11475.099609375,11450.7197265625,11460.4599609375,0
1970-01-01 00:00:00.000000011,11460.2998046875,11470.5,11450.4599609375,11467.48046875,0
1970-01-01 00:00:00.000000012,11467.48046875,11483.5703125,11466.490234375,11466.75,0
1970-01-01 00:00:00.000000013,11466.75,11480.6298828125,11464.58984375,11476.2099609375,0
1970-01-01 00:00:00.000000014,11475.9501953125,11504.01953125,11475.9501953125,11487.41015625,0
1970-01-01 00:00:00.000000015,11487.33984375,11488.1796875,11452.5400390625,11460.9404296875,0
1970-01-01 00:00:00.000000016,11460.8798828125,11469.58984375,11449.240234375,11449.400390625,0
1970-01-01 00:00:00.000000017,11449.6103515625,11463.5400390625,11447.8896484375,11463.099609375,0
1970-01-01 00:00:00.000000018,11470.91015625,11513.419921875,11463.009765625,11499.9404296875,0
1970-01-01 00:00:00.000000019,11499.9404296875,11528.3095703125,11498.9599609375,11516.599609375,0
1970-01-01 00:00:00.000000020,11516.599609375,11531.080078125,11514.9501953125,11522.990234375,0
1970-01-01 00:00:00.000000021,11522.990234375,11522.990234375,11508.7900390625,11511.400390625,0
1970-01-01 00:00:00.000000022,11507.3896484375,11538.419921875,11507.3896484375,11529.8603515625,0
1970-01-01 00:00:00.000000023,11529.8603515625,11530.1103515625,11511.7900390625,11523.169921875,0
1970-01-01 00:00:00.000000024,11523.1201171875,11543.3203125,11522.9697265625,11534.099609375,0
1970-01-01 00:00:00.000000025,11532.3603515625,11543.5,11520.900390625,11528.9599609375,0
1970-01-01 00:00:00.000000026,11528.75,11536.0595703125,11524.1201171875,11525.330078125,0
1970-01-01 00:00:00.000000027,11492.669921875,11503.7998046875,11470.76953125,11489.83984375,0
1970-01-01 00:00:00.000000028,11489.83984375,11499.6103515625,11481.6396484375,11495.0498046875,0
1970-01-01 00:00:00.000000029,11495.0498046875,11518.16015625,11495.0498046875,11516.2197265625,0
1970-01-01 00:00:00.000000030,11516.509765625,11521.259765625,11508.6103515625,11519.8603515625,0
1970-01-01 00:00:00.000000031,11519.8603515625,11543.0498046875,11519.8603515625,11542.150390625,0
1970-01-01 00:00:00.000000032,11542.150390625,11577.6904296875,11532.98046875,11570.4599609375,0
1970-01-01 00:00:00.000000033,11570.41015625,11583.740234375,11562.3095703125,11580.25,0
1970-01-01 00:00:00.000000034,11580.3603515625,11582.490234375,11563.5400390625,11569.349609375,0
1970-01-01 00:00:00.000000035,11566.0595703125,11570.9599609375,11559.9404296875,11565.740234375,0
1970-01-01 00:00:00.000000036,11581.669921875,11618.51953125,11580.240234375,11611.8603515625,0
1970-01-01 00:00:00.000000037,11611.8603515625,11626.1904296875,11607.3603515625,11619.75,0
1970-01-01 00:00:00.000000038,11619.6396484375,11629.169921875,11614.9599609375,11626.6103515625,0
1970-01-01 00:00:00.000000039,11627.1103515625,11640.01953125,11619.900390625,11620.2001953125,0
1970-01-01 00:00:00.000000040,11620.51953125,11626.900390625,11609.6904296875,11617.5,0
1970-01-01 00:00:00.000000041,11617.5,11629.2099609375,11604.490234375,11611.990234375,0
1970-01-01 00:00:00.000000042,11611.990234375,11644.7099609375,11610.5498046875,11628.1904296875,0
1970-01-01 00:00:00.000000043,11628.48046875,11649.990234375,11620.8095703125,11647.5302734375,0
1970-01-01 00:00:00.000000044,11647.5302734375,11647.5302734375,11639.48046875,11642.1796875,0
1970-01-01 00:00:00.000000045,11634.5703125,11672.7099609375,11623.4697265625,11648.8798828125,0
1970-01-01 00:00:00.000000046,11649.1103515625,11658.330078125,11633.33984375,11646.169921875,0
1970-01-01 00:00:00.000000047,11646.009765625,11660.6298828125,11635.1298828125,11654.2197265625,0
1970-01-01 00:00:00.000000048,11654.2197265625,11663.2001953125,11645.41015625,11653.66015625,0
1970-01-01 00:00:00.000000049,11653.66015625,11662.7001953125,11633.48046875,11661.4599609375,0
1970-01-01 00:00:00.000000050,11662.009765625,11682.0302734375,11659.330078125,11673.0703125,0
1970-01-01 00:00:00.000000051,11673.0703125,11674.9697265625,11651.41015625,11657.7900390625,0
1970-01-01 00:00:00.000000052,11658.5498046875,11667.0,11651.41015625,11661.759765625,0
1970-01-01 00:00:00.000000053,11662.1103515625,11669.3798828125,11658.91015625,11668.25,0
1970-01-01 00:00:00.000000054,11721.58984375,11744.7197265625,11703.1396484375,11711.349609375,0
1970-01-01 00:00:00.000000055,11711.830078125,11714.41015625,11684.2900390625,11685.75,0
1970-01-01 00:00:00.000000056,11685.9599609375,11699.4599609375,11684.23046875,11689.7802734375,0
1970-01-01 00:00:00.000000057,11689.6396484375,11700.599609375,11685.650390625,11696.98046875,0
1970-01-01 00:00:00.000000058,11696.6298828125,11712.5,11669.669921875,11696.8603515625,0
1970-01-01 00:00:00.000000059,11696.8603515625,11732.9404296875,11691.4404296875,11732.9404296875,0
1970-01-01 00:00:00.000000060,11733.2001953125,11741.6201171875,11722.3095703125,11737.1396484375,0
1970-01-01 00:00:00.000000061,11737.4404296875,11775.9697265625,11736.5400390625,11773.5400390625,0
1970-01-01 00:00:00.000000062,11773.4697265625,11773.4697265625,11765.26953125,11772.0,0
1970-01-01 00:00:00.000000063,11757.3798828125,11759.1904296875,11735.91015625,11754.5595703125,0
1970-01-01 00:00:00.000000064,11754.6103515625,11780.8896484375,11754.4599609375,11779.490234375,0
1970-01-01 00:00:00.000000065,11780.08984375,11784.6904296875,11765.7900390625,11771.5498046875,0
1970-01-01 00:00:00.000000066,11771.5498046875,11792.0498046875,11770.6298828125,11781.5,0
1970-01-01 00:00:00.000000067,11781.5,11781.5,11760.5498046875,11768.669921875,0
1970-01-01 00:00:00.000000068,11768.669921875,11792.0400390625,11766.7900390625,11789.9599609375,0
1970-01-01 00:00:00.000000069,11789.9599609375,11799.91015625,11760.8701171875,11768.900390625,0
1970-01-01 00:00:00.000000070,11766.5302734375,11781.0595703125,11766.5302734375,11777.990234375,0
1970-01-01 00:00:00.000000071,11777.6396484375,11783.4296875,11774.8095703125,11781.01953125,0
1970-01-01 00:00:00.000000072,11747.51953125,11779.759765625,11739.0302734375,11778.23046875,0
1970-01-01 00:00:00.000000073,11778.23046875,11779.7099609375,11763.5595703125,11772.080078125,0
1970-01-01 00:00:00.000000074,11772.1396484375,11774.009765625,11751.1298828125,11763.6298828125,0
1970-01-01 00:00:00.000000075,11763.6298828125,11769.4296875,11752.1796875,11757.259765625,0
1970-01-01 00:00:00.000000076,11757.259765625,11760.3095703125,11742.6103515625,11746.25,0
1970-01-01 00:00:00.000000077,11746.25,11750.7099609375,11707.1396484375,11707.4697265625,0
1970-01-01 00:00:00.000000078,11707.4697265625,11714.6396484375,11688.349609375,11694.5400390625,0
1970-01-01 00:00:00.000000079,11694.8095703125,11710.4697265625,11693.08984375,11707.4296875,0
1970-01-01 00:00:00.000000080,11707.2802734375,11711.259765625,11698.16015625,11710.26953125,0
1970-01-01 00:00:00.000000081,11733.919921875,11761.0302734375,11689.580078125,11701.0302734375,0
1970-01-01 00:00:00.000000082,11701.0302734375,11720.099609375,11697.349609375,11713.580078125,0
1970-01-01 00:00:00.000000083,11713.8701171875,11731.1796875,11709.1396484375,11721.23046875,0
1970-01-01 00:00:00.000000084,11718.0595703125,11747.8896484375,11718.0595703125,11745.2802734375,0
1970-01-01 00:00:00.000000085,11745.2802734375,11745.4501953125,11720.2099609375,11739.900390625,0
1970-01-01 00:00:00.000000086,11739.900390625,11741.2998046875,11704.66015625,11706.099609375,0
1970-01-01 00:00:00.000000087,11706.099609375,11713.9697265625,11692.5400390625,11701.7197265625,0
1970-01-01 00:00:00.000000088,11702.6201171875,11708.5400390625,11684.919921875,11685.990234375,0
1970-01-01 00:00:00.000000089,11685.990234375,11689.8701171875,11676.26953125,11679.669921875,0
1970-01-01 00:00:00.000000090,11663.6201171875,11666.08984375,11600.599609375,11613.91015625,0
1970-01-01 00:00:00.000000091,11613.91015625,11626.009765625,11593.41015625,11618.66015625,0
1970-01-01 00:00:00.000000092,11618.4599609375,11627.5595703125,11612.3603515625,11620.9404296875,0
1970-01-01 00:00:00.000000093,11620.990234375,11636.099609375,11613.73046875,11620.9404296875,0
1970-01-01 00:00:00.000000094,11620.5595703125,11623.919921875,11606.75,11611.16015625,0
1970-01-01 00:00:00.000000095,11611.7197265625,11632.1201171875,11606.830078125,11611.3798828125,0
1970-01-01 00:00:00.000000096,11611.3798828125,11622.6396484375,11602.919921875,11613.0302734375,0
1970-01-01 00:00:00.000000097,11612.580078125,11617.740234375,11606.419921875,11615.9599609375,0
1970-01-01 00:00:00.000000098,11615.9599609375,11632.2001953125,11615.4296875,11632.2001953125,0
1970-01-01 00:00:00.000000099,11588.08984375,11613.7197265625,11573.51953125,11574.0302734375,0
1970-01-01 00:00:00.000000100,11574.0302734375,11579.0302734375,11554.6904296875,11565.6103515625,0
